ruri,ruri_user,ruri_domain,from_user,from_domain,from_tag,to_user,contact_user,callid,content_type,user_agent,source_ip,source_port,destination_port,contact_ip,contact_port,toll_fraud
sip:011390662279016@13.57.9.131,11390662279016,13.57.9.131,test,13.57.9.131,bdea1c95,11390662279016,test,508e8684ba5220498c92455c4dd53e10,application/sdp,FreePBX 1.8,145.239.244.97,5094,5060,145.239.244.97,5094,1
sip:+972597744894@13.57.9.131,+972597744894,13.57.9.131,201,13.57.9.131,a4eedabd,+972597744894,201,2a73f1bb54c768ae4420e58c5221b65d,application/sdp,sipcli/v1.8,93.115.29.150,5070,5060,93.115.29.150,5070,1
sip:101010@13.57.9.131,101010,13.57.9.131,hello,honeypot.pstn.twilio.com,40140709_6772d868_da5dbf9a-40a9-41ab-ae7e-265f2305c338,101010,hello,f97002ea4ed0a973979c30aedb244d8c@0.0.0.0,application/sdp,Twilio Gateway,54.172.60.0,5060,5060,172.18.8.49,5060,0
sip:011441224928978@13.57.9.131,11441224928978,13.57.9.131,1001,13.57.9.131,3e3f8679,11441224928978,1001,184f60c0664e948d35a85d06629ce746,application/sdp,sipcli/v1.8,54.37.130.247,5071,5060,54.37.130.247,5071,1
sip:101010@13.57.9.131,101010,13.57.9.131,hello,honeypot.pstn.twilio.com,43071333_6772d868_96e61330-13be-4f24-b4af-d2c0597a68ac,101010,hello,5ea4fe84c9452028f322c4101cc73868@0.0.0.0,application/sdp,Twilio Gateway,54.172.60.1,5060,5060,172.18.4.246,5060,0
sip:101010@13.57.9.131,101010,13.57.9.131,hello,honeypot.pstn.twilio.com,61082923_6772d868_a978183b-1485-4bd2-a35e-dc22da199b08,101010,hello,0ab8479c6ea6a948b9c5780d83fe9459@0.0.0.0,application/sdp,Twilio Gateway,54.172.60.3,5060,5060,172.18.9.132,5060,0
sip:9011441224928978@13.57.9.131,9011441224928978,13.57.9.131,1001,13.57.9.131,80facb00,9011441224928978,1001,373ce9a4b5cc3e1cf5e7c016d770b935,application/sdp,sipcli/v1.8,54.37.130.247,5070,5060,54.37.130.247,5070,1
sip:8011441224928978@13.57.9.131,8011441224928978,13.57.9.131,1001,13.57.9.131,babb1c43,8011441224928978,1001,1277aaa58f8456405e49a470ee2460c3,application/sdp,sipcli/v1.8,54.37.130.247,5070,5060,54.37.130.247,5070,1
sip:011+31203697460@13.57.9.131:5060;transport=UDP,011+31203697460,13.57.9.131,8892525622,13.57.9.131,1g06q5m6,011+31203697460,8892525622,WLYG0GTWs2gcEHY62QMB25..,application/sdp,Avaya one-X Deskphone,185.107.83.35,37181,5060,185.107.83.35,5060,1
sip:++31203697460@13.57.9.131:5060;transport=UDP,++31203697460,13.57.9.131,8892525622,13.57.9.131,4kr2315m,++31203697460,8892525622,sqraZvbWUf6rCb5ZDpXHny..,application/sdp,Avaya one-X Deskphone,185.107.83.35,14017,5060,185.107.83.35,5060,1
sip:+90031203697460@13.57.9.131:5060;transport=UDP,+90031203697460,13.57.9.131,8892525622,13.57.9.131,hv4rxd9q,+90031203697460,8892525622,IRs5KO3xJilwtHNefU3ZmA..,application/sdp,Avaya one-X Deskphone,185.107.83.35,41843,5060,185.107.83.35,5060,1
sip:+901131203697460@13.57.9.131:5060;transport=UDP,+901131203697460,13.57.9.131,8892525622,13.57.9.131,nq7nqpmt,+901131203697460,,zsGQkATDQJcLUpWsRcVfOd..,application/sdp,Avaya one-X Deskphone,185.107.83.35,39648,5060,185.107.83.35,5060,1
sip:81031203697460@13.57.9.131:5060;transport=UDP,81031203697460,13.57.9.131,8892525622,13.57.9.131,ugwsyxfa,81031203697460,8892525622,9V2AlwjnIx0YqkLReX8v7t..,application/sdp,Avaya one-X Deskphone,185.107.83.35,8698,5060,185.107.83.35,5060,1
sip:990031203697460@13.57.9.131:5060;transport=UDP,990031203697460,13.57.9.131,8892525622,13.57.9.131,eq7rngni,990031203697460,8892525622,kvqUH05lA3YMwRDYctdLt6..,application/sdp,Avaya one-X Deskphone,185.107.83.35,50830,5060,185.107.83.35,5060,1
sip:880031203697460@13.57.9.131:5060;transport=UDP,880031203697460,13.57.9.131,8892525622,13.57.9.131,l1z4737m,880031203697460,8892525622,gJoTCQvrIiZU54BmK1nMCu..,application/sdp,Avaya one-X Deskphone,185.107.83.35,37143,5060,185.107.83.35,5060,1
sip:9901131203697460@13.57.9.131:5060;transport=UDP,9.90113E+15,13.57.9.131,8892525622,13.57.9.131,8zssn0j0,9.90113E+15,8892525622,bodFwLoTAx1GOYSElt28Aj..,application/sdp,Avaya one-X Deskphone,185.107.83.35,24107,5060,185.107.83.35,5060,1
